Test Type,Port Number / Nameserver,Result of Test
Port Egress,502,open
Port Egress,503,open
Port Egress,504,open
Port Egress,505,open
Port Egress,506,open
Port Egress,507,open
Port Egress,508,open
Port Egress,509,open
Port Egress,510,open
Port Egress,511,open
Port Egress,512,open
Port Egress,514,open
Port Egress,513,open
Port Egress,515,open
Port Egress,516,open
Port Egress,517,open
Port Egress,519,open
Port Egress,518,open
Port Egress,520,open
Port Egress,521,open
Port Egress,522,open
Port Egress,524,open
Port Egress,523,open
Port Egress,525,open
Port Egress,526,open
Port Egress,527,open
Port Egress,528,open
Port Egress,529,open
Port Egress,530,open
Port Egress,532,open
Port Egress,531,open
Port Egress,533,open
Port Egress,534,open
Port Egress,535,open
Port Egress,537,open
Port Egress,536,open
Port Egress,538,open
Port Egress,539,open
Port Egress,540,open
Port Egress,541,open
Port Egress,542,open
Port Egress,543,open
Port Egress,544,open
Port Egress,545,open
Port Egress,546,open
Port Egress,547,open
Port Egress,549,open
Port Egress,548,open
Port Egress,550,open
Port Egress,551,open
Port Egress,552,open
Port Egress,553,open
Port Egress,554,open
Port Egress,555,open
Port Egress,556,open
Port Egress,557,open
Port Egress,558,open
Port Egress,559,open
Port Egress,560,open
Port Egress,563,open
Port Egress,561,open
Port Egress,562,open
Port Egress,564,open
Port Egress,565,open
Port Egress,566,open
Port Egress,567,open
Port Egress,568,open
Port Egress,569,open
Port Egress,570,open
Port Egress,571,open
Port Egress,572,open
Port Egress,573,open
Port Egress,574,open
Port Egress,575,open
Port Egress,576,open
Port Egress,577,open
Port Egress,579,open
Port Egress,578,open
Port Egress,580,open
Port Egress,582,open
Port Egress,581,open
Port Egress,583,open
Port Egress,584,open
Port Egress,585,open
Port Egress,586,open
Port Egress,587,open
Port Egress,588,open
Port Egress,589,open
Port Egress,592,open
Port Egress,590,open
Port Egress,591,open
Port Egress,593,open
Port Egress,594,open
Port Egress,595,open
Port Egress,596,open
Port Egress,597,open
Port Egress,598,open
Port Egress,599,open
Port Egress,600,open
Port Egress,601,open
Port Egress,602,open
Port Egress,603,open
Port Egress,604,open
Port Egress,606,open
Port Egress,605,open
Port Egress,607,open
Port Egress,609,open
Port Egress,608,open
Port Egress,610,open
Port Egress,611,open
Port Egress,612,open
Port Egress,613,open
Port Egress,614,open
Port Egress,615,open
Port Egress,616,open
Port Egress,617,open
Port Egress,618,open
Port Egress,620,open
Port Egress,619,open
Port Egress,621,open
Port Egress,622,open
Port Egress,624,open
Port Egress,623,open
Port Egress,625,open
Port Egress,626,open
Port Egress,627,open
Port Egress,629,open
Port Egress,628,open
Port Egress,630,open
Port Egress,632,open
Port Egress,631,open
Port Egress,634,open
Port Egress,633,open
Port Egress,635,open
Port Egress,636,open
Port Egress,637,open
Port Egress,638,open
Port Egress,639,open
Port Egress,640,open
Port Egress,641,open
Port Egress,642,open
Port Egress,643,open
Port Egress,644,open
Port Egress,645,open
Port Egress,646,open
Port Egress,647,open
Port Egress,648,open
Port Egress,649,open
Port Egress,650,open
Port Egress,651,open
Port Egress,652,open
Port Egress,654,open
Port Egress,653,open
Port Egress,655,open
Port Egress,656,open
Port Egress,657,open
Port Egress,658,open
Port Egress,659,open
Port Egress,660,open
Port Egress,662,open
Port Egress,661,open
Port Egress,663,open
Port Egress,664,open
Port Egress,665,open
Port Egress,666,open
Port Egress,667,open
Port Egress,668,open
Port Egress,669,open
Port Egress,670,open
Port Egress,671,open
Port Egress,672,open
Port Egress,673,open
Port Egress,675,open
Port Egress,674,open
Port Egress,676,open
Port Egress,677,open
Port Egress,678,open
Port Egress,679,open
Port Egress,680,open
Port Egress,681,open
Port Egress,682,open
Port Egress,683,open
Port Egress,684,open
Port Egress,685,open
Port Egress,686,open
Port Egress,687,open
Port Egress,688,open
Port Egress,689,open
Port Egress,690,open
Port Egress,691,open
Port Egress,692,open
Port Egress,693,open
Port Egress,694,open
Port Egress,695,open
Port Egress,696,open
Port Egress,697,open
Port Egress,698,open
Port Egress,699,open
Port Egress,700,open
Port Egress,701,open
Port Egress,702,open
Port Egress,703,open
Port Egress,704,open
Port Egress,705,open
Port Egress,706,open
Port Egress,707,open
Port Egress,708,open
Port Egress,709,open
Port Egress,710,open
Port Egress,711,open
Port Egress,712,open
Port Egress,713,open
Port Egress,714,open
Port Egress,716,open
Port Egress,715,open
Port Egress,717,open
Port Egress,718,open
Port Egress,719,open
Port Egress,720,open
Port Egress,721,open
Port Egress,722,open
Port Egress,723,open
Port Egress,724,open
Port Egress,725,open
Port Egress,726,open
Port Egress,727,open
Port Egress,728,open
Port Egress,729,open
Port Egress,730,open
Port Egress,731,open
Port Egress,732,open
Port Egress,733,open
Port Egress,735,open
Port Egress,734,open
Port Egress,736,open
Port Egress,737,open
Port Egress,739,open
Port Egress,738,open
Port Egress,740,open
Port Egress,741,open
Port Egress,742,open
Port Egress,743,open
Port Egress,744,open
Port Egress,745,open
Port Egress,746,open
Port Egress,747,open
Port Egress,748,open
Port Egress,749,open
Port Egress,750,open
Port Egress,751,open
Port Egress,752,open
Port Egress,754,open
Port Egress,753,open
Port Egress,755,open
Port Egress,756,open
Port Egress,757,open
Port Egress,758,open
Port Egress,759,open
Port Egress,760,open
Port Egress,761,open
Port Egress,762,open
Port Egress,763,open
Port Egress,764,open
Port Egress,766,open
Port Egress,765,open
Port Egress,767,open
Port Egress,768,open
Port Egress,769,open
Port Egress,770,open
Port Egress,771,open
Port Egress,772,open
Port Egress,773,open
Port Egress,774,open
Port Egress,775,open
Port Egress,776,open
Port Egress,777,open
Port Egress,778,open
Port Egress,779,open
Port Egress,781,open
Port Egress,780,open
Port Egress,782,open
Port Egress,783,open
Port Egress,784,open
Port Egress,785,open
Port Egress,786,open
Port Egress,787,open
Port Egress,788,open
Port Egress,789,open
Port Egress,790,open
Port Egress,791,open
Port Egress,792,open
Port Egress,793,open
Port Egress,794,open
Port Egress,795,open
Port Egress,796,open
Port Egress,797,open
Port Egress,798,open
Port Egress,799,open
Port Egress,800,open
Port Egress,801,open
Port Egress,802,open
Port Egress,803,open
Port Egress,804,open
Port Egress,805,open
Port Egress,806,open
Port Egress,807,open
Port Egress,809,open
Port Egress,808,open
Port Egress,810,open
Port Egress,811,open
Port Egress,813,open
Port Egress,812,open
Port Egress,814,open
Port Egress,815,open
Port Egress,816,open
Port Egress,817,open
Port Egress,818,open
Port Egress,819,open
Port Egress,820,open
Port Egress,822,open
Port Egress,823,open
Port Egress,824,open
Port Egress,825,open
Port Egress,826,open
Port Egress,828,open
Port Egress,827,open
Port Egress,829,open
Port Egress,830,open
Port Egress,831,open
Port Egress,832,open
Port Egress,833,open
